"Contig","Description","Top_hit","BitScore","Evalue"
"k141_1475881.concoct_part_0","CP035368.2","Haemophilus parainfluenzae strain LC_1315_18 chromosom...","5526",0
"k141_741703.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","1836",0
"k141_4045235.concoct_part_2","CP024598.1","Porphyromonas gingivalis strain KCOM 2798 chromosome, ...","18072",0
"k141_1111049.concoct_part_0","CP004085.1","Corynebacterium urealyticum DSM 7111, complete genome","300",3e-77
"k141_1476910.concoct_part_0","","","",NA
"k141_1111330.concoct_part_0","CP046313.1","Gemella sanguinis strain FDAARGOS_742 chromosome, comp...","9974",0
"k141_3312205.concoct_part_0","CP025774.1","Achromobacter xylosoxidans strain SOLR10 chromosome","2026",0
"k141_375817.concoct_part_0","AP017894.1","Actinomyces naeslundii DNA, complete genome","5651",0
"k141_1111470.concoct_part_7","CP040433.1","Stenotrophomonas maltophilia strain SKK55 chromosome, ...","9311",0
"k141_3679319.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","1083",0
"k141_2947706.concoct_part_0","LR594040.1","Streptococcus australis strain NCTC5338 genome assembl...","1134",0
"k141_2947755.concoct_part_0","CP050324.1","Pseudomonas aeruginosa strain DVT427 chromosome, compl...","6695",0
"k141_376404.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","1941",0
"k141_1478037.concoct_part_0","","","",NA
"k141_3679905.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","2850",0
"k141_3313214.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","2309",0
"k141_743187.concoct_part_9","","","",NA
"k141_2948222.concoct_part_0","CP053922.1","Pseudomonas aeruginosa strain YD001 chromosome, comple...","25798",0
"k141_2212485.concoct_part_0","","","",NA
"k141_743243.concoct_part_0","CP047069.1","Pseudomonas aeruginosa strain Environ_1 chromosome","14403",0
"k141_8544.concoct_part_0","CP020450.2","Streptococcus gordonii strain FDAARGOS_257 chromosome,...","7659",0
"k141_1112655.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","2026",0
"k141_2948431.concoct_part_0","CP040504.1","Neisseria sp. oral taxon 014 str. F0314 chromosome","15900",0
"k141_2948544.concoct_part_0","CP053998.1","Streptococcus salivarius strain FDAARGOS_771 chromosom...","907",0
"k141_2948572.concoct_part_0","CP046313.1","Gemella sanguinis strain FDAARGOS_742 chromosome, comp...","693",0
"k141_9110.concoct_part_0","CP052386.1","Klebsiella pneumoniae strain C17KP0055 chromosome, com...","5020",0
"k141_2213354.concoct_part_0","","","",NA
"k141_3680988.concoct_part_0","CP019721.1","Veillonella parvula strain UTDB1-3, complete genome","1881",0
"k141_744035.concoct_part_0","AP014938.1","Rothia mucilaginosa DNA, complete genome, strain: NUM-...","2519",0
"k141_1846713.concoct_part_0","","","",NA
"k141_2949683.concoct_part_0","CP053988.1","Abiotrophia defectiva strain FDAARGOS_785 chromosome, ...","3079",0
"k141_744559.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","2329",0
"k141_2581824.concoct_part_0","CP003858.1","Streptococcus intermedius C270, complete genome","4154",0
"k141_10127.concoct_part_0","CP046315.1","Schaalia odontolytica strain FDAARGOS_732 chromosome, ...","3216",0
"k141_1114878.concoct_part_0","CP040432.1","Stenotrophomonas maltophilia strain sm-RA9 chromosome,...","54.7",0.001
"k141_379233.concoct_part_0","AP022846.1","Haemophilus influenzae TAMBA230 DNA, complete genome","3681",0
"k141_10961.concoct_part_0","CP054134.1","Streptococcus oralis subsp. oralis strain SN51445 chro...","2156",0
"k141_1116060.concoct_part_0","","","",NA
"k141_4050638.concoct_part_0","LR134484.1","Gemella haemolysans strain NCTC10459 genome assembly, ...","2246",0
"k141_1481782.concoct_part_0","CP053939.1","Neisseria mucosa strain FDAARGOS_758 chromosome, compl...","2571",0
"k141_1116466.concoct_part_3","CP019674.1","Burkholderia cenocepacia strain VC12308 chromosome 1, ...","18330",0
"k141_3316546.concoct_part_1","CP015033.1","Burkholderia cenocepacia strain 842 chromosome 1, comp...","18199",0
"k141_11963.concoct_part_0","","","",NA
"k141_1482066.concoct_part_0","","","",NA
"k141_3316877.concoct_part_0","LR134254.1","Klebsiella aerogenes strain NCTC9644 genome assembly, ...","24099",0
"k141_2216754.concoct_part_0","","","",NA
"k141_2216900.concoct_part_0","CP022040.2","Prevotella melaninogenica strain FDAARGOS_306 chromoso...","8272",0
"k141_2585377.concoct_part_0","CP050965.1","Gemella haemolysans strain FDAARGOS_740 chromosome","3168",0
"k141_3317789.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","3003",0
"k141_1118024.concoct_part_0","CP044497.1","Haemophilus influenzae strain PittGG chromosome, compl...","4667",0
"k141_747270.concoct_part_0","","","",NA
"k141_4053671.concoct_part_0","CP020452.2","Neisseria mucosa strain FDAARGOS_260 chromosome, compl...","2333",0
"k141_2218437.concoct_part_0","","","",NA
"k141_14107.concoct_part_0","CP039887.1","Neisseria subflava strain ATCC 49275 chromosome, compl...","1731",0
"k141_2587088.concoct_part_0","CP054011.1","Prevotella melaninogenica strain FDAARGOS_760 chromoso...","1971",0
"k141_1484381.concoct_part_0","CP027241.1","Lachnospiraceae bacterium oral taxon 500 strain W11650...","1589",0
"k141_2218602.concoct_part_0","CP012066.1","Pseudomonas aeruginosa strain F9676, complete genome","18384",0
"k141_2218602.concoct_part_3","CP060703.1","Pseudomonas aeruginosa strain NRD619 chromosome, compl...","18417",0
"k141_2218602.concoct_part_4","LR700248.1","Pseudomonas aeruginosa isolate ID40 genome assembly, c...","18345",0
"k141_2218602.concoct_part_5","CP050052.1","Pseudomonas aeruginosa strain LIUYANG-E chromosome, co...","18306",0
"k141_4054068.concoct_part_0","LR134375.1","Veillonella dispar strain NCTC11831 genome assembly, c...","1690",0
"k141_4054500.concoct_part_0","CP040436.1","Stenotrophomonas maltophilia strain PEG-390 chromosome...","82.4",3e-11
"k141_383522.concoct_part_0","CP040504.1","Neisseria sp. oral taxon 014 str. F0314 chromosome","2933",0
"k141_14426.concoct_part_5","LR798194.1","Burkholderia cenocepacia strain IST439 genome assembly...","18096",0
"k141_14426.concoct_part_8","LR798194.1","Burkholderia cenocepacia strain IST439 genome assembly...","18234",0
"k141_14426.concoct_part_9","LR798194.1","Burkholderia cenocepacia strain IST439 genome assembly...","18198",0
"k141_14426.concoct_part_10","LR798194.1","Burkholderia cenocepacia strain IST439 genome assembly...","18142",0
"k141_2219075.concoct_part_0","CP054214.1","Escherichia coli strain EcPF40 chromosome, complete ge...","5544",0
"k141_749093.concoct_part_0","CP031681.1","Haemophilus influenzae strain P669-6977 chromosome, co...","15767",0
"k141_1852623.concoct_part_0","CP036190.1","Klebsiella pneumoniae strain BA34918 chromosome, compl...","15852",0
"k141_1120283.concoct_part_1","CP006252.1","Serratia liquefaciens ATCC 27592, complete genome","17874",0
"k141_1120283.concoct_part_2","CP033893.1","Serratia liquefaciens strain FG3 chromosome, complete ...","18196",0
"k141_384242.concoct_part_0","CP060613.1","Staphylococcus aureus strain S5 chromosome","18764",0
"k141_3688274.concoct_part_0","FN568063.1","Streptococcus mitis B6 complete genome, strain B6","1978",0
"k141_1120844.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","3679",0
"k141_1485942.concoct_part_0","CP031477.1","Haemophilus parainfluenzae strain M27794 chromosome, c...","3448",0
"k141_1853148.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","1666",0
"k141_1121095.concoct_part_0","CP040804.1","Streptococcus salivarius strain LAB813 chromosome, com...","2706",0
"k141_384801.concoct_part_0","LR698955.1","Fusobacterium nucleatum isolate MGYG-HGUT-01347 genome...","3195",0
"k141_15653.concoct_part_0","CP018917.1","Serratia marcescens strain UMH5, complete genome","3520",0
"k141_1853433.concoct_part_0","CP018187.1","Streptococcus salivarius strain ICDC2, complete genome","3210",0
"k141_15992.concoct_part_0","CP019302.1","Prevotella intermedia strain strain 17 chromosome I, c...","4748",0
"k141_2957462.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","4427",0
"k141_750363.concoct_part_0","CP036190.1","Klebsiella pneumoniae strain BA34918 chromosome, compl...","12054",0
"k141_2957525.concoct_part_0","CP039886.1","Neisseria flavescens strain ATCC 13120 chromosome, com...","2926",0
"k141_16269.concoct_part_0","CP031477.1","Haemophilus parainfluenzae strain M27794 chromosome, c...","2261",0
"k141_4056894.concoct_part_0","","","",NA
"k141_3321793.concoct_part_2","CP047691.1","Serratia marcescens strain C110 chromosome, complete g...","19597",0
"k141_386114.concoct_part_0","CP023863.1","Prevotella jejuni strain CD3:33 chromosome I, complete...","4091",0
"k141_1854560.concoct_part_0","CP046335.1","Streptococcus mitis strain FDAARGOS_684 chromosome, co...","1694",0
"k141_750653.concoct_part_4","CP011303.1","Serratia liquefaciens strain HUMV-21, complete genome","18212",0
"k141_750653.concoct_part_5","CP006252.1","Serratia liquefaciens ATCC 27592, complete genome","18124",0
"k141_1122404.concoct_part_1","CP013452.1","Burkholderia cenocepacia strain MSMB384WGS chromosome ...","18225",0
"k141_2221569.concoct_part_0","CP041733.1","Enterobacter hormaechei subsp. steigerwaltii strain ME...","3696",0
"k141_1854909.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","1358",0
"k141_3322587.concoct_part_0","CP014008.1","Klebsiella pneumoniae subsp. pneumoniae strain RJF293,...","9092",0
"k141_387142.concoct_part_0","","","",NA
"k141_1123181.concoct_part_0","LR134274.1","Streptococcus salivarius strain NCTC8618 genome assemb...","3264",0
"k141_387284.concoct_part_0","CP039992.1","Staphylococcus aureus strain Lr3 chromosome, complete ...","449",1e-121
"k141_1123499.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","2682",0
"k141_1855654.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","10183",0
"k141_4059103.concoct_part_0","CP050332.1","Pseudomonas aeruginosa strain DVT413 chromosome, compl...","21560",0
"k141_3323352.concoct_part_3","CP058571.1","Escherichia coli strain EC2 chromosome, complete genome","20465",0
"k141_1489401.concoct_part_0","CP047691.1","Serratia marcescens strain C110 chromosome, complete g...","17897",0
"k141_752149.concoct_part_0","CP039886.1","Neisseria flavescens strain ATCC 13120 chromosome, com...","4543",0
"k141_3691822.concoct_part_0","CP054018.1","Rothia dentocariosa strain FDAARGOS_752 chromosome, co...","22170",0
"k141_388486.concoct_part_0","AP017894.1","Actinomyces naeslundii DNA, complete genome","1120",0
"k141_3324337.concoct_part_0","CP027241.1","Lachnospiraceae bacterium oral taxon 500 strain W11650...","2041",0
"k141_1857237.concoct_part_0","CP041733.1","Enterobacter hormaechei subsp. steigerwaltii strain ME...","2588",0
"k141_753600.concoct_part_1","CP047691.1","Serratia marcescens strain C110 chromosome, complete g...","30313",0
"k141_389726.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","1742",0
"k141_2961913.concoct_part_0","CP040006.1","Schaalia odontolytica strain XH001 chromosome, complet...","1158",0
"k141_2224473.concoct_part_0","CP012648.1","Streptococcus gordonii strain KCOM 1506 (= ChDC B679),...","3927",0
"k141_2593704.concoct_part_0","LR134274.1","Streptococcus salivarius strain NCTC8618 genome assemb...","4451",0
"k141_1125991.concoct_part_0","CP021867.1","Streptococcus agalactiae strain SG-M25, complete genome","2109",0
"k141_4061686.concoct_part_1","CP011303.1","Serratia liquefaciens strain HUMV-21, complete genome","17880",0
"k141_2224879.concoct_part_2","CP011996.1","Porphyromonas gingivalis AJW4, complete genome","18382",0
"k141_2224879.concoct_part_3","CP024600.1","Porphyromonas gingivalis strain KCOM 2801 chromosome, ...","28705",0
"k141_3325523.concoct_part_3","CP006985.1","Pseudomonas aeruginosa LESlike4 sequence","18268",0
"k141_1491968.concoct_part_2","CP041131.1","Serratia marcescens strain WVU-008 chromosome, complet...","15891",0
"k141_2224977.concoct_part_0","CP002277.1","Haemophilus influenzae R2866, complete genome","974",0
"k141_1858045.concoct_part_0","AP017894.1","Actinomyces naeslundii DNA, complete genome","7175",0
"k141_3325948.concoct_part_0","LS483444.1","Streptococcus australis strain NCTC13166 genome assemb...","4470",0
"k141_2594649.concoct_part_0","CP014326.1","Streptococcus mitis strain SVGS_061, complete genome","2791",0
"k141_1858373.concoct_part_0","CP054018.1","Rothia dentocariosa strain FDAARGOS_752 chromosome, co...","2545",0
"k141_3326085.concoct_part_0","CP024931.1","Corynebacterium striatum strain 215 chromosome, comple...","17885",0
"k141_3326085.concoct_part_4","CP024932.1","Corynebacterium striatum strain 216 chromosome, comple...","22604",0
"k141_1492747.concoct_part_6","HG938371.2","Burkholderia cenocepacia H111 chromosome 2, complete g...","21034",0
"k141_2963904.concoct_part_0","CP034442.1","Streptococcus oralis subsp. dentisani strain F0392 chr...","1592",0
"k141_4063192.concoct_part_0","CP030928.1","Streptococcus thermophilus strain CS18 chromosome, com...","501",2e-137
"k141_1493250.concoct_part_0","CP020452.2","Neisseria mucosa strain FDAARGOS_260 chromosome, compl...","2789",0
"k141_1859114.concoct_part_0","CP012646.1","Streptococcus mitis strain KCOM 1350 (= ChDC B183), co...","1975",0
"k141_755914.concoct_part_1","CP053706.1","Pseudomonas aeruginosa strain PAC1 chromosome, complet...","18334",0
"k141_22797.concoct_part_0","LT906445.1","Veillonella parvula strain NCTC11810 genome assembly, ...","10833",0
"k141_2226628.concoct_part_0","CP036376.1","Streptococcus agalactiae strain Sag153 chromosome, com...","18639",0
"k141_3696317.concoct_part_0","CP020566.1","Veillonella atypica strain OK5, complete genome","2423",0
"k141_1493779.concoct_part_0","","","",NA
"k141_3328094.concoct_part_0","FR873482.1","Streptococcus salivarius JIM8777 complete genome","4525",0
"k141_2227304.concoct_part_0","CP003859.1","Streptococcus constellatus subsp. pharyngis C1050, com...","6612",0
"k141_2227344.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","1696",0
"k141_1494789.concoct_part_0","CP027231.1","Bacteroides zoogleoformans strain ATCC 33285 chromosom...","272",8e-69
"k141_2597169.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","2141",0
"k141_2966273.concoct_part_0","LS483375.1","Streptococcus gordonii strain NCTC3165 genome assembly...","9690",0
"k141_1129440.concoct_part_0","CP047798.1","Staphylococcus aureus strain UP_378 chromosome, comple...","11090",0
"k141_757278.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","7919",0
"k141_2966346.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","4558",0
"k141_1494921.concoct_part_2","CP050333.1","Pseudomonas aeruginosa strain DVT412 chromosome, compl...","18301",0
"k141_1494921.concoct_part_3","CP045916.1","Pseudomonas aeruginosa strain CF39S chromosome, comple...","18318",0
"k141_1129637.concoct_part_0","CP054236.1","Escherichia coli strain EcPF5 chromosome, complete genome","4481",0
"k141_3697878.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1604",0
"k141_757588.concoct_part_0","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","9479",0
"k141_3698293.concoct_part_0","LT631458.1","Campylobacter showae strain 129_VTPP genome assembly, ...","73.1",6e-09
"k141_1495370.concoct_part_0","CP014232.1","Actinomyces oris strain T14V, complete genome","2165",0
"k141_2598249.concoct_part_0","LR134378.1","Lautropia mirabilis strain NCTC12852 genome assembly, ...","1810",0
"k141_758285.concoct_part_0","CP048598.1","Klebsiella aerogenes strain AUH-KAM-9 chromosome, comp...","1899",0
"k141_2598429.concoct_part_0","AP018338.1","Streptococcus oralis subsp. tigurinus DNA, complete ge...","1834",0
"k141_3330334.concoct_part_0","CP046315.1","Schaalia odontolytica strain FDAARGOS_732 chromosome, ...","1749",0
"k141_25113.concoct_part_0","CP022041.2","Prevotella melaninogenica strain FDAARGOS_306 chromoso...","9594",0
"k141_1496150.concoct_part_0","CP012066.1","Pseudomonas aeruginosa strain F9676, complete genome","17638",0
"k141_1496285.concoct_part_0","","","",NA
"k141_25379.concoct_part_0","CP053939.1","Neisseria mucosa strain FDAARGOS_758 chromosome, compl...","2737",0
"k141_1496671.concoct_part_0","CP007631.2","Streptococcus agalactiae strain NGBS061, complete genome","26273",0
"k141_759358.concoct_part_0","CP039887.1","Neisseria subflava strain ATCC 49275 chromosome, compl...","2233",0
"k141_3331313.concoct_part_0","LR134489.1","Capnocytophaga sputigena strain NCTC11097 genome assem...","7267",0
"k141_25879.concoct_part_4","CP015034.1","Burkholderia cenocepacia strain 842 chromosome 2, comp...","35800",0
"k141_395703.concoct_part_0","CP052562.1","Klebsiella pneumoniae strain A16KP0135 chromosome, com...","7123",0
"k141_760124.concoct_part_0","LR134274.1","Streptococcus salivarius strain NCTC8618 genome assemb...","196",4e-46
"k141_1862205.concoct_part_7","CP034157.1","Cloacibacterium normanense strain NRS-1 chromosome, co...","298",5e-76
"k141_1862205.concoct_part_15","CP034157.1","Cloacibacterium normanense strain NRS-1 chromosome, co...","1445",0
"k141_1497539.concoct_part_0","","","",NA
"k141_3701343.concoct_part_0","CP003191.1","Tannerella forsythia 92A2, complete genome","4342",0
"k141_2230884.concoct_part_0","CP046315.1","Schaalia odontolytica strain FDAARGOS_732 chromosome, ...","1749",0
"k141_2970182.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","3016",0
"k141_27000.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","3217",0
"k141_2231178.concoct_part_0","FR873482.1","Streptococcus salivarius JIM8777 complete genome","2983",0
"k141_2231221.concoct_part_0","CP030924.1","Klebsiella pneumoniae subsp. pneumoniae strain KC-Pl-H...","24151",0
"k141_3333047.concoct_part_0","CP023863.1","Prevotella jejuni strain CD3:33 chromosome I, complete...","1099",0
"k141_1499147.concoct_part_1","CP007631.2","Streptococcus agalactiae strain NGBS061, complete genome","27350",0
"k141_1133678.concoct_part_2","CP015034.1","Burkholderia cenocepacia strain 842 chromosome 2, comp...","18356",0
"k141_1863612.concoct_part_0","","","",NA
"k141_1133849.concoct_part_0","CP012646.1","Streptococcus mitis strain KCOM 1350 (= ChDC B183), co...","2217",0
"k141_2971567.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","2881",0
"k141_1134011.concoct_part_0","FQ312002.1","Haemophilus parainfluenzae T3T1 complete genome","1746",0
"k141_4071792.concoct_part_0","AP020316.1","Staphylococcus aureus KUH140331 DNA, complete genome","2067",0
"k141_3334282.concoct_part_0","LR134375.1","Veillonella dispar strain NCTC11831 genome assembly, c...","4595",0
"k141_762608.concoct_part_0","AE017226.1","Treponema denticola ATCC 35405, complete genome","2715",0
"k141_2601918.concoct_part_0","CP050965.1","Gemella haemolysans strain FDAARGOS_740 chromosome","2804",0
"k141_28398.concoct_part_0","CP039887.1","Neisseria subflava strain ATCC 49275 chromosome, compl...","2423",0
"k141_28410.concoct_part_0","CP038817.1","Haemophilus parahaemolyticus strain NEB129 chromosome,...","1886",0
"k141_1500076.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","2918",0
"k141_2233153.concoct_part_0","CP051700.1","Escherichia coli strain SCU-125 chromosome, complete g...","1899",0
"k141_4074171.concoct_part_0","CP046335.1","Streptococcus mitis strain FDAARGOS_684 chromosome, co...","2612",0
"k141_3705306.concoct_part_0","CP020450.2","Streptococcus gordonii strain FDAARGOS_257 chromosome,...","2351",0
"k141_400732.concoct_part_0","CP019674.1","Burkholderia cenocepacia strain VC12308 chromosome 1, ...","11162",0
"k141_2976019.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","3070",0
"k141_3338535.concoct_part_0","CP024725.1","Prevotella intermedia strain KCOM 2838 chromosome 1, c...","2183",0
"k141_31732.concoct_part_0","AE017226.1","Treponema denticola ATCC 35405, complete genome","2774",0
"k141_2235972.concoct_part_0","LR778174.1","Veillonella parvula strain SKV38 genome assembly, chro...","5646",0
"k141_1867083.concoct_part_0","CP053939.1","Neisseria mucosa strain FDAARGOS_758 chromosome, compl...","10316",0
"k141_2605480.concoct_part_0","CP042530.1","Klebsiella aerogenes strain C9 chromosome, complete ge...","2183",0
"k141_766855.concoct_part_0","","","",NA
"k141_2236496.concoct_part_1","CP026050.1","Serratia marcescens strain FDAARGOS_65 chromosome, com...","24938",0
"k141_1504420.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","3807",0
"k141_3339607.concoct_part_0","CP020451.2","Streptococcus salivarius strain FDAARGOS_259 chromosom...","7579",0
"k141_3708069.concoct_part_0","LS483364.1","Streptococcus sanguinis strain NCTC11086 genome assemb...","2782",0
"k141_767394.concoct_part_0","AP014938.1","Rothia mucilaginosa DNA, complete genome, strain: NUM-...","2174",0
"k141_767479.concoct_part_0","CP036190.1","Klebsiella pneumoniae strain BA34918 chromosome, compl...","18373",0
"k141_33049.concoct_part_0","CP001721.1","Atopobium parvulum DSM 20469, complete genome","1277",0
"k141_4078448.concoct_part_0","CP013328.1","Fusobacterium nucleatum subsp. polymorphum strain ChDC...","1548",0
"k141_2606927.concoct_part_0","CP026650.1","Serratia marcescens isolate GN26 chromosome","8746",0
"k141_1868759.concoct_part_0","CP023510.1","Rothia mucilaginosa strain FDAARGOS_369 chromosome, co...","3445",0
"k141_2606990.concoct_part_1","CP026021.1","Klebsiella pneumoniae strain 11492 chromosome, complet...","23058",0
"k141_2978242.concoct_part_0","CP052431.1","Klebsiella pneumoniae strain C16KP0122 chromosome, com...","15782",0
"k141_4078713.concoct_part_0","CP007593.1","Streptococcus pneumoniae strain NT_110_58, complete ge...","3469",0
"k141_3708892.concoct_part_0","CP031251.1","Neisseria subflava strain M18660 chromosome, complete ...","1581",0
"k141_403162.concoct_part_0","CP019562.1","Streptococcus oralis strain S.MIT/ORALIS-351, complete...","3138",0
"k141_2607253.concoct_part_0","CP002843.1","Streptococcus parasanguinis ATCC 15912, complete genome","1271",0
"k141_768079.concoct_part_0","CP006252.1","Serratia liquefaciens ATCC 27592, complete genome","17946",0
"k141_403457.concoct_part_0","AP013045.1","Tannerella forsythia KS16 DNA, complete genome","5699",0
"k141_768221.concoct_part_0","","","",NA
"k141_4079322.concoct_part_0","CP003191.1","Tannerella forsythia 92A2, complete genome","9864",0
"k141_2238637.concoct_part_0","CP054236.1","Escherichia coli strain EcPF5 chromosome, complete genome","2025",0
"k141_1506042.concoct_part_0","","","",NA
"k141_403866.concoct_part_0","CP034089.1","Bifidobacterium longum strain LTBL16 chromosome, compl...","1009",0
"k141_768682.concoct_part_0","CP047883.1","Streptococcus mitis strain S022-V3-A4 chromosome, comp...","2708",0
"k141_2239093.concoct_part_0","FR873481.1","Streptococcus salivarius CCHSS3 complete genome","14739",0
"k141_2239182.concoct_part_0","AP023349.1","Streptococcus mitis Nm-65 DNA, complete genome","1818",0
"k141_2979791.concoct_part_0","CP047845.1","Staphylococcus aureus strain UP_591 chromosome, comple...","9537",0
"k141_404203.concoct_part_1","CP048784.1","Serratia liquefaciens strain S1 chromosome, complete g...","17952",0
"k141_4080580.concoct_part_0","AP014938.1","Rothia mucilaginosa DNA, complete genome, strain: NUM-...","4333",0
"k141_3710702.concoct_part_0","AP011540.1","Rothia mucilaginosa DY-18 DNA, complete genome","2837",0
"k141_3710801.concoct_part_0","CP014264.1","Streptococcus sp. oral taxon 431, complete genome","1539",0
"k141_1140788.concoct_part_0","CP002589.1","Prevotella denticola F0289, complete genome","2327",0
"k141_769688.concoct_part_0","CP035368.2","Haemophilus parainfluenzae strain LC_1315_18 chromosom...","1820",0
"k141_1507397.concoct_part_0","CP044107.1","Enterobacter hormaechei strain FDAARGOS_642 chromosome...","2806",0
"k141_2980730.concoct_part_0","CP003122.1","Streptococcus parasanguinis FW213, complete genome","2333",0
"k141_1141634.concoct_part_1","CP043549.1","Pseudomonas aeruginosa strain GIMC5002:PAT-169 chromosome","18467",0
"k141_3343488.concoct_part_0","","","",NA
"k141_1508444.concoct_part_0","CP006776.1","Streptococcus sp. I-P16, complete genome","1724",0
"k141_3711764.concoct_part_0","CP027533.1","Serratia marcescens strain AR_0091 chromosome, complet...","17871",0
