"","ContigID","Protein_Hit","Gene","Drug","Mechanism","Genus","Species","Family","PlasmidOrChr","Type"
"2124","k141_963321.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"2123","k141_961288.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Porphyromonas","Porphyromonas gingivalis",NA,"Chromosome","Chromosome"
"2122","k141_959033.concoct_part_4","AAC75137","mdtC","Aminocoumarin antibiotic","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2121","k141_959033.concoct_part_3","AAG05915","MuxB","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2120","k141_958985.concoct_part_0","CAA09666","Klebsiella pneumoniae OmpK37","Beta-lactam","reduced permeability to antibiotic","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"2119","k141_957381.concoct_part_1","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2118","k141_955257.concoct_part_0","AAC73564","acrB","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2117","k141_955169.concoct_part_0","AAC73564","acrB","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2116","k141_953725.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2115","k141_953213.concoct_part_1","AAG05882","MexF","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2114","k141_951594.concoct_part_0","EHL92831","Klebsiella pneumoniae KpnG","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"2113","k141_950615.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2112","k141_948990.concoct_part_0","AAD51346","smeC","Multidrug","antibiotic efflux","Klebsiella","Klebsiella aerogenes",NA,"Chromosome","Chromosome"
"2111","k141_94707.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Campylobacter","Campylobacter concisus",NA,"Chromosome","Chromosome"
"2110","k141_940748.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Serratia","Serratia sp.",NA,"Chromosome","Chromosome"
"2109","k141_937524.concoct_part_0","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Klebsiella","Klebsiella aerogenes",NA,"Chromosome","Chromosome"
"2108","k141_936764.concoct_part_0","CDO61516","efrB","Multidrug","antibiotic efflux","Atopobium","Atopobium parvulum",NA,"Chromosome","Chromosome"
"2107","k141_935196.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Lautropia","Lautropia mirabilis",NA,"Chromosome","Chromosome"
"2106","k141_934277.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Capnocytophaga","Capnocytophaga leadbetteri",NA,"Chromosome","Chromosome"
"2105","k141_931333.concoct_part_0","ALH22601","adeL","Multidrug","antibiotic efflux","Serratia","Serratia marcescens",NA,"Chromosome","Chromosome"
"2104","k141_929325.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Treponema","Treponema socranskii",NA,"Chromosome","Chromosome"
"2103","k141_926240.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2102","k141_924150.concoct_part_0","AAF40764","farB","Antibacterial free fatty acids","antibiotic efflux","Neisseria","Neisseria cinerea",NA,"Chromosome","Chromosome"
"2101","k141_920931.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"2100","k141_920696.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Capnocytophaga","Capnocytophaga sputigena",NA,"Chromosome","Chromosome"
"2099","k141_92055.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"2098","k141_920266.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2097","k141_920072.concoct_part_1","APC93960","qnrE1","Fluoroquinolone","antibiotic target protection","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"2096","k141_916605.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2095","k141_9110.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Klebsiella","Klebsiella pneumoniae",NA,"Plasmid","Plasmid"
"2094","k141_910962.concoct_part_0","AAG03548","TriC","Triclosan","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"2093","k141_909359.concoct_part_2","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Porphyromonas","Porphyromonas gingivalis",NA,"Chromosome","Chromosome"
"2092","k141_909359.concoct_part_1","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"2091","k141_90862.concoct_part_0","BAB38260","cpxA","Aminoglycoside","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"2090","k141_908482.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"2089","k141_908404.concoct_part_0","AAG05915","MuxB","Multidrug","antibiotic efflux","Tannerella","Tannerella forsythia",NA,"Chromosome","Chromosome"
"2088","k141_905443.concoct_part_2","EHL92831","Klebsiella pneumoniae KpnG","Multidrug","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"2087","k141_905157.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Actinomyces","Actinomyces naeslundii",NA,"Chromosome","Chromosome"
"2086","k141_904728.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","Prevotella","Prevotella denticola",NA,"Chromosome","Chromosome"
"2085","k141_900498.concoct_part_0","EHL92831","Klebsiella pneumoniae KpnG","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"2084","k141_900434.concoct_part_0","AAC75271","yojI","Peptide antibiotic","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"2083","k141_898586.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"2082","k141_896623.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Neisseria","Neisseria mucosa",NA,"Chromosome","Chromosome"
"2081","k141_895518.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"2080","k141_894206.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"2079","k141_893735.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","","",NA,"Chromosome","Chromosome"
"2078","k141_893216.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"2077","k141_892927.concoct_part_0","AET10445","tetB(46)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"2076","k141_89013.concoct_part_0","BAE77933","CRP","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"2075","k141_889847.concoct_part_0","AAK99679","pmrA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"2074","k141_888325.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Schaalia","Schaalia odontolytica",NA,"Chromosome","Chromosome"
"2073","k141_887800.concoct_part_27","BAE78116","eptA","Peptide antibiotic","antibiotic target alteration","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"2072","k141_887800.concoct_part_21","BAA23130","SRT-1","Beta-lactam","antibiotic inactivation","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"2071","k141_887800.concoct_part_16","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"2070","k141_887800.concoct_part_12","ABV18113","mdtG","Fosfomycin","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"2069","k141_887800.concoct_part_11","ABV18113","mdtG","Fosfomycin","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"2068","k141_887466.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"2067","k141_886884.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Bifidobacterium","Bifidobacterium longum",NA,"Chromosome","Chromosome"
"2066","k141_886258.concoct_part_0","AAV85981","macA","MLS","antibiotic efflux","Neisseria","Neisseria flavescens",NA,"Chromosome","Chromosome"
"2065","k141_88483.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"2064","k141_882560.concoct_part_0","AAX14802","adeJ","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2063","k141_881077.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Aggregatibacter","Aggregatibacter segnis",NA,"Chromosome","Chromosome"
"2062","k141_880539.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Salmonella","Salmonella enterica",NA,"Chromosome","Chromosome"
"2061","k141_87821.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2060","k141_874131.concoct_part_0","AAL73129","mel","Multidrug","antibiotic target protection","Streptococcus","Streptococcus pyogenes",NA,"Chromosome","Chromosome"
"2059","k141_874072.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"2058","k141_872361.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"2057","k141_872215.concoct_part_0","BAE06006","mexN","Phenicol","antibiotic efflux","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"2056","k141_871987.concoct_part_0","BAB41874","mgrA","Multidrug","antibiotic efflux","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"2055","k141_871317.concoct_part_0","AET10444","tetA(46)","Tetracycline","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2054","k141_871118.concoct_part_1","ABV18113","mdtG","Fosfomycin","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"2053","k141_87092.concoct_part_0","AAC75136","mdtB","Aminocoumarin antibiotic","antibiotic efflux","Staphylococcus","Staphylococcus aureus",NA,"Chromosome","Chromosome"
"2052","k141_869719.concoct_part_0","AAP43110","oqxB","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2051","k141_869637.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"2050","k141_868432.concoct_part_0","ADO96486","hmrM","Multidrug","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"2049","k141_863887.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2048","k141_863305.concoct_part_0","AAK76136","patB","Fluoroquinolone","antibiotic efflux","Atopobium","Atopobium parvulum",NA,"Chromosome","Chromosome"
"2047","k141_862471.concoct_part_0","AJD73064","RlmA(II)","MLS","antibiotic target alteration","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"2046","k141_860505.concoct_part_0","AAC75271","yojI","Peptide antibiotic","antibiotic efflux","Campylobacter","Campylobacter concisus",NA,"Chromosome","Chromosome"
"2045","k141_85962.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Corynebacterium","Corynebacterium striatum",NA,"Chromosome","Chromosome"
"2044","k141_859289.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"2043","k141_856832.concoct_part_0","AAG06942","arnA","Peptide antibiotic","antibiotic target alteration","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"2042","k141_856131.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"2041","k141_8544.concoct_part_0","AAK76137","patA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus gordonii",NA,"Chromosome","Chromosome"
"2040","k141_852432.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2039","k141_85024.concoct_part_0","ALH22601","adeL","Multidrug","antibiotic efflux","Haemophilus","Haemophilus influenzae",NA,"Chromosome","Chromosome"
"2038","k141_848795.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"2037","k141_847037.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Filifactor","Filifactor alocis",NA,"Chromosome","Chromosome"
"2036","k141_84653.concoct_part_0","AAK99679","pmrA","Fluoroquinolone","antibiotic efflux","Streptococcus","Streptococcus australis",NA,"Chromosome","Chromosome"
"2035","k141_846233.concoct_part_0","ALV80601","bcr-1","Bicyclomycin","antibiotic efflux","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"2034","k141_846108.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","Campylobacter","Campylobacter concisus",NA,"Chromosome","Chromosome"
"2033","k141_842369.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2032","k141_840711.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Actinomyces","Actinomyces sp.",NA,"Chromosome","Chromosome"
"2031","k141_840689.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2030","k141_838038.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","Neisseria","Neisseria bacilliformis",NA,"Chromosome","Chromosome"
"2029","k141_834471.concoct_part_1","ACJ41547","Acinetobacter baumannii AbaQ","Fluoroquinolone","antibiotic efflux","Serratia","Serratia liquefaciens",NA,"Chromosome","Chromosome"
"2028","k141_831610.concoct_part_0","AAO04716","dfrC","Diaminopyrimidine","antibiotic target replacement","Staphylococcus","Staphylococcus aureus","Siphoviridae","Chromosome","Phage"
"2027","k141_831516.concoct_part_0","AAG07064","mexK","Multidrug","antibiotic efflux","Fusobacterium","Fusobacterium nucleatum",NA,"Chromosome","Chromosome"
"2026","k141_830151.concoct_part_0","AAA74437","MexB","Multidrug","antibiotic efflux","Campylobacter","Campylobacter concisus",NA,"Chromosome","Chromosome"
"2025","k141_829507.concoct_part_0","AAG07763","mexW","Multidrug","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"2024","k141_828341.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Streptococcus","Streptococcus parasanguinis",NA,"Chromosome","Chromosome"
"2023","k141_827893.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Capnocytophaga","Capnocytophaga gingivalis",NA,"Chromosome","Chromosome"
"2022","k141_827886.concoct_part_0","ANZ79240","tetA(60)","Tetracycline","antibiotic efflux","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"2021","k141_823891.concoct_part_0","CAA79727","tetQ","Tetracycline","antibiotic target protection","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"2020","k141_818561.concoct_part_4","AAF27727","aadA2","Aminoglycoside","antibiotic inactivation","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"2019","k141_817287.concoct_part_4","AAC74149","mdtH","Fluoroquinolone","antibiotic efflux","Klebsiella","Klebsiella pneumoniae",NA,"Chromosome","Chromosome"
"2018","k141_815647.concoct_part_1","SIP52035","Pseudomonas aeruginosa CpxR","MLS","antibiotic efflux","Pseudomonas","Pseudomonas aeruginosa",NA,"Chromosome","Chromosome"
"2017","k141_814954.concoct_part_0","AAX14802","adeJ","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2016","k141_814330.concoct_part_2","AYV52072","lmrD","MLS","antibiotic efflux","Leptotrichia","Leptotrichia wadei",NA,"Chromosome","Chromosome"
"2015","k141_814330.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Leptotrichia","Leptotrichia wadei",NA,"Chromosome","Chromosome"
"2014","k141_811997.concoct_part_3","AAC73564","acrB","Multidrug","antibiotic efflux","Serratia","Serratia proteamaculans",NA,"Chromosome","Chromosome"
"2013","k141_805020.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2012","k141_80489.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2011","k141_803561.concoct_part_0","CAJ77856","adeF","Multidrug","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"2010","k141_802240.concoct_part_0","ABO11759","Acinetobacter baumannii AbaF","Fosfomycin","antibiotic efflux","Corynebacterium","Corynebacterium striatum",NA,"Chromosome","Chromosome"
"2009","k141_800009.concoct_part_0","AAF40763","farA","Antibacterial free fatty acids","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
"2008","k141_799603.concoct_part_0","AAF40763","farA","Antibacterial free fatty acids","antibiotic efflux","Neisseria","Neisseria sicca",NA,"Chromosome","Chromosome"
"2007","k141_798992.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Mycoplasma","Mycoplasma salivarium",NA,"Chromosome","Chromosome"
"2006","k141_796967.concoct_part_0","BAB38260","cpxA","Aminoglycoside","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"2005","k141_795300.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"2004","k141_794897.concoct_part_0","ACQ82816","Acinetobacter baumannii AmvA","MLS","antibiotic efflux","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"2003","k141_79255.concoct_part_0","BAA16547","emrA","Fluoroquinolone","antibiotic efflux","Escherichia","Escherichia coli",NA,"Chromosome","Chromosome"
"2002","k141_792116.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Gemella","Gemella sanguinis",NA,"Chromosome","Chromosome"
"2001","k141_789123.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Rothia","Rothia mucilaginosa",NA,"Chromosome","Chromosome"
"2000","k141_788945.concoct_part_0","WP_000192137","arlR","Fluoroquinolone","antibiotic efflux","Veillonella","Veillonella dispar",NA,"Chromosome","Chromosome"
"1999","k141_787628.concoct_part_1","ALH22601","adeL","Multidrug","antibiotic efflux","Burkholderia","Burkholderia cenocepacia",NA,"Chromosome","Chromosome"
"1998","k141_785212.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus gordonii",NA,"Chromosome","Chromosome"
"1997","k141_784790.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Neisseria","Neisseria bacilliformis",NA,"Chromosome","Chromosome"
"1996","k141_784319.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Streptococcus","Streptococcus pneumoniae",NA,"Chromosome","Chromosome"
"1995","k141_784029.concoct_part_0","BAA11237","emrY","Tetracycline","antibiotic efflux","Haemophilus","Haemophilus parainfluenzae",NA,"Chromosome","Chromosome"
"1994","k141_78345.concoct_part_0","AAK76137","patA","Fluoroquinolone","antibiotic efflux","Achromobacter","Achromobacter xylosoxidans",NA,"Chromosome","Chromosome"
"1993","k141_782023.concoct_part_5","CAA10975","tetW","Tetracycline","antibiotic target protection","Stenotrophomonas","Stenotrophomonas maltophilia",NA,"Chromosome","Chromosome"
"1992","k141_780760.concoct_part_0","AAY32951","lnuC","MLS","antibiotic inactivation","Streptococcus","Streptococcus salivarius",NA,"Chromosome","Chromosome"
"1991","k141_780436.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Gemella","Gemella haemolysans",NA,"Chromosome","Chromosome"
"1990","k141_779836.concoct_part_0","AAB58161","ceoB","Multidrug","antibiotic efflux","Prevotella","Prevotella sp.",NA,"Chromosome","Chromosome"
"1989","k141_779295.concoct_part_0","AAX14802","adeJ","Multidrug","antibiotic efflux","Moraxella","Moraxella catarrhalis",NA,"Chromosome","Chromosome"
"1988","k141_778825.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Veillonella","Veillonella atypica",NA,"Chromosome","Chromosome"
"1987","k141_778516.concoct_part_0","ADP36409","Bifidobacteria intrinsic ileS conferring resistance to mupirocin","Mupirocin","antibiotic target alteration","Prevotella","Prevotella melaninogenica",NA,"Chromosome","Chromosome"
"1986","k141_778076.concoct_part_0","AAO47226","Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin","Aminocoumarin antibiotic","antibiotic target alteration","Lawsonella","Lawsonella clevelandensis",NA,"Chromosome","Chromosome"
"1985","k141_777094.concoct_part_0","ANZ79241","tetB(60)","Tetracycline","antibiotic efflux","Gemella","Gemella morbillorum",NA,"Chromosome","Chromosome"
"1984","k141_776783.concoct_part_0","WP_104671188","efrA","Multidrug","antibiotic efflux","Streptococcus","Streptococcus sp.",NA,"Chromosome","Chromosome"
"1983","k141_774950.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1982","k141_774573.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Streptococcus","Streptococcus mitis",NA,"Chromosome","Chromosome"
"1981","k141_774522.concoct_part_0","AAC74000","msbA","Nitroimidazole antibiotic","antibiotic efflux","","",NA,"Chromosome","Chromosome"
"1980","k141_772424.concoct_part_0","AAC75089","ugd","Peptide antibiotic","antibiotic target alteration","Prevotella","Prevotella intermedia",NA,"Chromosome","Chromosome"
"1979","k141_77127.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Neisseria","Neisseria flavescens",NA,"Chromosome","Chromosome"
"1978","k141_77125.concoct_part_0","AAV85982","macB","MLS","antibiotic efflux","Neisseria","Neisseria subflava",NA,"Chromosome","Chromosome"
